bookCode,image
1,https://drive.google.com/uc?export=view&id=1hSYran9rU5JoU6_A90mtGalRqRef7fk4
3,https://drive.google.com/uc?export=view&id=1lOqqvZdWjzbgmPry_3uOb08YLUX7aIQo
4,https://drive.google.com/uc?export=view&id=1eYqmnTB7yoiy0fDwAIsKLE6Iyk4JJio_
6,https://drive.google.com/uc?export=view&id=1JT2Mt3Omd0oceVfuD0Vcsru8kogBrB-U
8,https://drive.google.com/uc?export=view&id=1vt0aCBt1EHW3WpwIQ1P5-4fItvbtNwZe
9,https://drive.google.com/uc?export=view&id=1yUqdmWrlYkYJX1NwUd8mjtdFJQFzgiac
11,https://drive.google.com/uc?export=view&id=1dfU-qMq5eS03JJT3Iu45zxzmC51mk1TB
12,https://drive.google.com/uc?export=view&id=1CZVSyZuoi3sZtkwMY6-mymkSVDonNMFa
13,https://drive.google.com/uc?export=view&id=19WLq1K1G2Z3v86voA2pePql7B2ypkiHX
15,https://drive.google.com/uc?export=view&id=1tC2ISpA-3Q6pW33wYAykxWlHwC8HjJGd
16,https://drive.google.com/uc?export=view&id=19ObByQSMlWnuNlPaHEwvEe5a-z5bNxS_
20,https://drive.google.com/uc?export=view&id=1SjGDArGki8KF8oL0z2Nl2sfCrDp64mbh
22,https://drive.google.com/uc?export=view&id=1HYhRISXrxAMnjEXXfjdxubgZmRujxcfp
23,https://drive.google.com/uc?export=view&id=1wmmZX-xpEnzHnzkI2MyhbDmRhMtP5kAa
24,https://drive.google.com/uc?export=view&id=18y6j3D7esTuEA4yVTdGM8K5F5OwJVziF
26,https://drive.google.com/uc?export=view&id=1Cx-sYfP2rkVGgFlEACtOHPMxiTItY1nq
27,https://drive.google.com/uc?export=view&id=1IdOHPnPZCXFP3brVQ7GOpGvImjLoMXuP
32,https://drive.google.com/uc?export=view&id=1Zh3OiDld_NkmGMwqLrgxLkplBRceKL4e
33,https://drive.google.com/uc?export=view&id=1xxMw7ccSbN8e2OCG21QA9gIyywrYAVJI
34,https://drive.google.com/uc?export=view&id=1xVPYFh-P-M5z_7d8l_9-0S1xtg51sVJA   
35,https://drive.google.com/uc?export=view&id=17IJRi_8whyG4d7pGkwKthAqM5vWfOr52
36,https://drive.google.com/uc?export=view&id=1c64lHeHCt3Aes8cZJXIYNYnfB2lVKF6W   
41,https://drive.google.com/uc?export=view&id=1BSJ5cuhSUCFALZiKEjESGeApR9ADlapP
42,https://drive.google.com/uc?export=view&id=1epqco0g5eLiEIfmp-jQy4nMbhYMOcc5T
158,https://drive.google.com/uc?export=view&id=19xkN0Ug5Dwy_pYl5dfBjVtrj7xksz1rH
44,https://drive.google.com/uc?export=view&id=1n85SsKxm467qflUEv1mrelan4XPXwpZn   
45,https://drive.google.com/uc?export=view&id=1Vtx3FxQKgU0q3bxIY44d-Yl9M3Aitae3   
47,https://drive.google.com/uc?export=view&id=16Nj79jnfmw0ycG3GiW-6veGXcaGzdp7E   
51,https://drive.google.com/uc?export=view&id=1dWxzF0aQrTRQvoDwXWuATrkpzYBw5hzt   
54,https://drive.google.com/uc?export=view&id=1uLIMkyXxldMZEl-_5ylh5HkebEUqfrM3   
55,https://drive.google.com/uc?export=view&id=11Eu7IZBSshzqhhULzi8AleRya2FouT3T   
58,https://drive.google.com/uc?export=view&id=1nCOUjIvuK_muHokP4VBpuXXcnf0Gbgrq   
62,https://drive.google.com/uc?export=view&id=1o1gsufqBQK56GNw0oqDeF-nqpQLut7ju   
64,https://drive.google.com/uc?export=view&id=1WrcGZiSWwE_6fY25rv7_hZnoZOKuJMj1   
68,https://drive.google.com/uc?export=view&id=1oipOkAjRg5LDvMKD8yFM2jG7Q-E4jdCX   
70,https://drive.google.com/uc?export=view&id=1LiBg5LA8PnE7sM815pRkIQdGAtN5cRyO   
71,https://drive.google.com/uc?export=view&id=1Fs3G8Wx2sbFmlA15d_Ex_dpPUIUPxFFJ   
72,https://drive.google.com/uc?export=view&id=1ITd4uXtAwvOtHjgrTM-e6Vikthr09xMX   
